model,seed,corruption_level,n_samples,accuracy,precision_macro,f1_macro,mcc,log_loss,inference_time_s,inference_time_per_sample_ms
bpe_500,231,30,2000,0.78,0.7790304533884598,0.7791781401137254,0.7068686243207539,0.5993378758430481,0.18543070001760498,0.09271535000880249
bpe_500,231,35,2000,0.777,0.7762618159777954,0.7761897997315403,0.7029307839505226,0.6165522336959839,0.1903435999993235,0.09517179999966174
bpe_500,231,40,2000,0.7645,0.7638847458414031,0.7637349448117848,0.6862779988957335,0.6339403390884399,0.18518299999414012,0.09259149999707006
bpe_500,231,45,2000,0.76,0.759481218699827,0.7592554827896096,0.6802959931495386,0.6527951955795288,0.17698280001059175,0.08849140000529587
bpe_500,231,50,2000,0.7415,0.7417427368376698,0.7409188435818077,0.6557603723822389,0.6761891841888428,0.1832056000130251,0.09160280000651255
bpe_500,321,0,2000,0.814,0.8144114452247285,0.8125031081263548,0.7530293416017757,0.5129796862602234,0.22073050000471994,0.11036525000235997
bpe_500,321,5,2000,0.8115,0.812076326022928,0.8098390228994333,0.7498285513969456,0.5241914987564087,0.18309150001732633,0.09154575000866316
bpe_500,321,10,2000,0.8045,0.8058432990601635,0.8029069304347431,0.740646429038227,0.5347272753715515,0.2041046000085771,0.10205230000428855
bpe_500,321,15,2000,0.803,0.8045656443385332,0.8014292267009193,0.7386992198167007,0.5438783168792725,0.24627180001698434,0.12313590000849217
bpe_500,321,20,2000,0.797,0.7992074610397045,0.7956625606951626,0.7307614186223678,0.5601508617401123,0.2009175000130199,0.10045875000650994
bpe_500,321,25,2000,0.7895,0.7930661478877451,0.7879082074282246,0.7212810174884391,0.5764011144638062,0.2261593000148423,0.11307965000742115
bpe_500,321,30,2000,0.782,0.7873089630611094,0.7802948884176126,0.7117882537368908,0.5935239195823669,0.2007840999867767,0.10039204999338835
bpe_500,321,35,2000,0.7675,0.7731265980152268,0.7655010802691472,0.6926707769867246,0.6155144572257996,0.18030750000616536,0.09015375000308268
bpe_500,321,40,2000,0.763,0.7687594669161364,0.7607256708588715,0.6869125012792451,0.6356071829795837,0.16574530000798404,0.08287265000399202
bpe_500,321,45,2000,0.748,0.7583153269124125,0.7456874111554018,0.6680308113811997,0.6573216915130615,0.1675186000065878,0.0837593000032939
bpe_500,321,50,2000,0.7335,0.7445168626728526,0.7316546392371812,0.6486076889180886,0.6885513663291931,0.18086520000360906,0.09043260000180453
bpe_500,312,0,2000,0.7995,0.7992669678386792,0.7989438946153228,0.7329190786004705,0.544935941696167,0.2254747999832034,0.1127373999916017
bpe_500,312,5,2000,0.798,0.7976496839838486,0.7973651021374839,0.7309335061034823,0.5598170161247253,0.18910560000222176,0.09455280000111088
bpe_500,312,10,2000,0.7935,0.7940854403896396,0.7934001658252108,0.7249047161346697,0.5639417767524719,0.17200039996532723,0.08600019998266362
bpe_500,312,15,2000,0.788,0.7882323268267669,0.7876394875524352,0.7176245087477794,0.5725089311599731,0.16465489997062832,0.08232744998531416
bpe_500,312,20,2000,0.7835,0.7839666480485306,0.7833757114821498,0.7115520506116093,0.5864546895027161,0.19839909998700023,0.09919954999350011
bpe_500,312,25,2000,0.7785,0.778751072474577,0.778315987132649,0.7048591194796804,0.5994738936424255,0.18202670000027865,0.09101335000013933
bpe_500,312,30,2000,0.77,0.7710565563906508,0.770076565997566,0.6936277251714403,0.6169669032096863,0.1692130999872461,0.08460654999362305
bpe_500,312,35,2000,0.754,0.755883953356394,0.7542552248703385,0.6724500196451004,0.6423553824424744,0.1872694999910891,0.09363474999554455
bpe_500,312,40,2000,0.745,0.7481326823322325,0.7456692967594456,0.6605837736140157,0.6589966416358948,0.22327079996466637,0.11163539998233318
bpe_500,312,45,2000,0.738,0.7411134444316356,0.7384797999527444,0.6513559488502675,0.6730402112007141,0.2026672000065446,0.1013336000032723
bpe_500,312,50,2000,0.726,0.7306625266174214,0.7270480877960386,0.635490584742128,0.6997107863426208,0.17665629996918142,0.08832814998459071
bpe_500,111,0,2000,0.804,0.8033543254932419,0.802909050049271,0.7391186527357034,0.5268975496292114,0.2158830999978818,0.1079415499989409
bpe_500,111,5,2000,0.8025,0.8020048323994784,0.8013412371942081,0.7372042846233825,0.5379794836044312,0.20633219997398555,0.10316609998699278
bpe_500,111,10,2000,0.801,0.8006803342899224,0.7998476407844224,0.7352641890685899,0.5458941459655762,0.20732869999483228,0.10366434999741614
bpe_500,111,15,2000,0.7995,0.7983274683437671,0.7983225731699867,0.7330222687214165,0.5523792505264282,0.21293830004287884,0.10646915002143942
bpe_500,111,20,2000,0.7975,0.7964671564426906,0.7961878918973451,0.7304825213233385,0.5608182549476624,0.1728257000213489,0.08641285001067445
bpe_500,111,25,2000,0.7905,0.789276596592108,0.7891012884570268,0.7211422966720231,0.5754842758178711,0.196692300029099,0.0983461500145495
bpe_500,111,30,2000,0.787,0.7859237588555957,0.7855085174212791,0.7165710958836019,0.5862753987312317,0.1913858000189066,0.0956929000094533
bpe_500,111,35,2000,0.7745,0.7739560957492195,0.7734673465853377,0.6997946500617044,0.6077906489372253,0.18612110003596172,0.09306055001798086
bpe_500,111,40,2000,0.764,0.7640530876537897,0.7627015809772906,0.6861368125610118,0.6198102831840515,0.22511380002833903,0.11255690001416951
bpe_500,111,45,2000,0.7555,0.7563082915279296,0.7543551183899057,0.6749451349682888,0.6427415609359741,0.16165749996434897,0.08082874998217449
bpe_500,111,50,2000,0.752,0.7528683147134937,0.7508681321781995,0.6702766294613568,0.6625316739082336,0.18170150002697483,0.09085075001348741
bpe_500,222,0,2000,0.811,0.8104427849425887,0.8104279610838034,0.7481768400255923,0.5268822908401489,0.22084199998062104,0.11042099999031052
bpe_500,222,5,2000,0.8085,0.8083941465605192,0.8080721494578205,0.7448983660933869,0.5415878891944885,0.18620130000635982,0.09310065000317991
bpe_500,222,10,2000,0.802,0.8017976091604193,0.8014833333337767,0.7362594544630721,0.5460848212242126,0.24238680000416934,0.12119340000208467
bpe_500,222,15,2000,0.799,0.7987978205462267,0.7984710865212683,0.7322685477102701,0.551703691482544,0.1707950999843888,0.0853975499921944
bpe_500,222,20,2000,0.8,0.8002257851172194,0.799670296930575,0.7336124036641641,0.5595341920852661,0.18586180004058406,0.09293090002029203
bpe_500,222,25,2000,0.789,0.7893582161723061,0.7885892683605565,0.7190430643868845,0.572447657585144,0.18087440001545474,0.09043720000772737
bpe_500,222,30,2000,0.7855,0.7864599133431229,0.7850217437070868,0.7146193669837101,0.5885635614395142,0.19856599997729063,0.09928299998864532
bpe_500,222,35,2000,0.7735,0.7749460420425958,0.7730963100219844,0.6987263542192833,0.6070134043693542,0.1802595999906771,0.09012979999533854
bpe_500,222,40,2000,0.7665,0.7683040334921225,0.7658454114042232,0.6896662576920216,0.6191174387931824,0.2139595999615267,0.10697979998076335
bpe_500,222,45,2000,0.7575,0.7604185595730714,0.7567800636049306,0.6780474471052383,0.6394479870796204,0.16747889999533072,0.08373944999766536
bpe_500,222,50,2000,0.742,0.7466473170650604,0.7417438320280663,0.6576644628094209,0.6672678589820862,0.18656959995860234,0.09328479997930117
bpe_500,333,0,2000,0.81,0.8093285528405338,0.8089407602518115,0.7471118289030808,0.524277925491333,0.24956299999030307,0.12478149999515153
bpe_500,333,5,2000,0.8055,0.8051768614078003,0.8045233524625031,0.7411658864908666,0.5345140695571899,0.19218489999184385,0.09609244999592192
bpe_500,333,10,2000,0.804,0.8034001599419847,0.8030548432717448,0.7390619241358644,0.5447109937667847,0.19002149999141693,0.09501074999570847
bpe_500,333,15,2000,0.798,0.7973802854539873,0.7969783879472176,0.7311022897123005,0.558052122592926,0.23215090000303462,0.11607545000151731
bpe_500,333,20,2000,0.793,0.7923333285950768,0.7918601669137746,0.7244911299566915,0.5640805959701538,0.1809357000165619,0.09046785000828095
bpe_500,333,25,2000,0.7845,0.7838333176043513,0.7834684099559228,0.7130932239934129,0.5796325206756592,0.155485299997963,0.0777426499989815
bpe_500,333,30,2000,0.7805,0.7799004359084112,0.7795811662131781,0.707711588309488,0.5952416062355042,0.19210669997846708,0.09605334998923354
bpe_500,333,35,2000,0.7715,0.7711830699389878,0.770662372632869,0.6957539277517102,0.6158798933029175,0.18706339999334887,0.09353169999667443
bpe_500,333,40,2000,0.764,0.7641388014267764,0.7630595361937205,0.6859651695887714,0.6363826990127563,0.1724718000041321,0.08623590000206605
bpe_500,333,45,2000,0.751,0.7519919947990971,0.7501994148388261,0.6688202536781571,0.6573911309242249,0.16482209996320307,0.08241104998160154
bpe_500,333,50,2000,0.737,0.7381032123588718,0.7364663772791029,0.6500192488648676,0.6847713589668274,0.16468390001682565,0.08234195000841282
bpe_1000,123,0,2000,0.813,0.8156806547571668,0.8118957207818108,0.7522014698136363,0.5166932344436646,0.22248150000814348,0.11124075000407174
