seed,corruption_level,model_a,model_b,n_samples,both_correct,model_a_only_correct,model_b_only_correct,both_wrong,accuracy_delta_a_minus_b,p_raw,p_holm,significant_holm_0.05
132,5,bpe_500,bpe_2000,2000,1508,96,152,244,-0.028,0.0004550961748933579,0.523815697302255,False
132,5,bpe_500,bpe_5000,2000,1511,93,163,233,-0.035,1.438657271508775e-05,0.01910536856563653,True
132,5,bpe_500,char,2000,1502,102,138,258,-0.018,0.023667640256366508,1.0,False
132,5,bpe_1000,bpe_2000,2000,1523,87,137,253,-0.025,0.0010162281955814524,1.0,False
132,5,bpe_1000,bpe_5000,2000,1517,93,157,233,-0.032,6.209748835782103e-05,0.07818073784249668,False
132,5,bpe_1000,char,2000,1489,121,151,239,-0.015,0.07849045296058095,1.0,False
132,5,bpe_2000,bpe_5000,2000,1578,82,96,244,-0.007,0.3298754764930281,1.0,False
132,5,bpe_2000,char,2000,1521,139,119,221,0.01,0.23679357177051774,1.0,False
132,5,bpe_5000,char,2000,1530,144,110,216,0.017,0.038186372679904615,1.0,False
132,10,word,bpe_500,2000,1495,188,107,210,0.0405,2.789211609019235e-06,0.003860268866882621,True
132,10,word,bpe_1000,2000,1496,187,104,213,0.0415,1.30976792883368e-06,0.0018349848682959857,True
132,10,word,bpe_2000,2000,1542,141,104,213,0.0185,0.021259986479514995,1.0,False
132,10,word,bpe_5000,2000,1569,114,90,227,0.012,0.10709882141588886,1.0,False
132,10,word,char,2000,1505,178,122,195,0.028,0.0014548792549569313,1.0,False
132,10,bpe_500,bpe_1000,2000,1480,122,120,278,0.001,0.9487629958476214,1.0,False
132,10,bpe_500,bpe_2000,2000,1498,104,148,250,-0.022,0.006637985944921435,1.0,False
132,10,bpe_500,bpe_5000,2000,1497,105,162,236,-0.0285,0.0005842480901192554,0.6637058303754741,False
132,10,bpe_500,char,2000,1486,116,141,257,-0.0125,0.13421611924267005,1.0,False
132,10,bpe_1000,bpe_2000,2000,1513,87,133,267,-0.023,0.0023386603139271584,1.0,False
132,10,bpe_1000,bpe_5000,2000,1505,95,154,246,-0.0295,0.00022311211696048297,0.2672883161186586,False
132,10,bpe_1000,char,2000,1478,122,149,251,-0.0135,0.1140808247249124,1.0,False
132,10,bpe_2000,bpe_5000,2000,1553,93,106,248,-0.0065,0.39501577812011107,1.0,False
132,10,bpe_2000,char,2000,1499,147,128,226,0.0095,0.27770114662808376,1.0,False
132,10,bpe_5000,char,2000,1509,150,118,223,0.016,0.05807198565812631,1.0,False
132,15,word,bpe_500,2000,1477,186,115,222,0.0355,5.0750701766210186e-05,0.06455489264661936,False
132,15,word,bpe_1000,2000,1477,186,112,225,0.037,2.14547735416507e-05,0.02812720811310407,True
132,15,word,bpe_2000,2000,1507,156,113,224,0.0215,0.01031070696397381,1.0,False
132,15,word,bpe_5000,2000,1550,113,101,236,0.006,0.4521621432456104,1.0,False
132,15,word,char,2000,1493,170,131,206,0.0195,0.028336368217652386,1.0,False
132,15,bpe_500,bpe_1000,2000,1460,132,129,279,0.0015,0.9015070808432801,1.0,False
132,15,bpe_500,bpe_2000,2000,1473,119,147,261,-0.014,0.09764485501293925,1.0,False
132,15,bpe_500,bpe_5000,2000,1486,106,165,243,-0.0295,0.00040650754250669995,0.46951621159523843,False
132,15,bpe_500,char,2000,1471,121,153,255,-0.016,0.06090133364888662,1.0,False
132,15,bpe_1000,bpe_2000,2000,1483,106,137,274,-0.0155,0.05406786779522205,1.0,False
132,15,bpe_1000,bpe_5000,2000,1486,103,165,246,-0.031,0.00018301091175180638,0.2212601923079339,False
132,15,bpe_1000,char,2000,1461,128,163,248,-0.0175,0.04606268856774154,1.0,False
132,15,bpe_2000,bpe_5000,2000,1531,89,120,260,-0.0155,0.037718957484690084,1.0,False
132,15,bpe_2000,char,2000,1471,149,153,227,-0.002,0.8629783035156254,1.0,False
132,15,bpe_5000,char,2000,1499,152,125,224,0.0135,0.11808416554409987,1.0,False
132,20,word,bpe_500,2000,1455,182,132,231,0.025,0.005603055012178766,1.0,False
132,20,word,bpe_1000,2000,1456,181,132,231,0.0245,0.0065726838437192075,1.0,False
132,20,word,bpe_2000,2000,1487,150,131,232,0.0095,0.28289559967775424,1.0,False
132,20,word,bpe_5000,2000,1539,98,108,255,-0.005,0.5307221711313294,1.0,False
132,20,word,char,2000,1461,176,149,214,0.0135,0.1491276929527598,1.0,False
132,20,bpe_500,bpe_1000,2000,1447,140,141,272,-0.0005,1.0,1.0,False
132,20,bpe_500,bpe_2000,2000,1469,118,149,264,-0.0155,0.06616079491946626,1.0,False
132,20,bpe_500,bpe_5000,2000,1474,113,173,240,-0.03,0.0004647758366388302,0.534027436298016,False
132,20,bpe_500,char,2000,1458,129,152,261,-0.0115,0.18928740289684162,1.0,False
132,20,bpe_1000,bpe_2000,2000,1479,109,139,273,-0.015,0.06533102568813412,1.0,False
132,20,bpe_1000,bpe_5000,2000,1476,112,171,241,-0.0295,0.0005422551737218334,0.6203399187377774,False
132,20,bpe_1000,char,2000,1443,145,167,245,-0.011,0.23443135723757424,1.0,False
132,20,bpe_2000,bpe_5000,2000,1526,92,121,261,-0.0145,0.054788507489458946,1.0,False
132,20,bpe_2000,char,2000,1460,158,150,232,0.004,0.6900621236396974,1.0,False
132,20,bpe_5000,char,2000,1479,168,131,222,0.0185,0.037171361900721234,1.0,False
132,25,word,bpe_500,2000,1408,204,147,241,0.0285,0.0027467799738850997,1.0,False
132,25,word,bpe_1000,2000,1430,182,139,249,0.0215,0.018927153458414097,1.0,False
132,25,word,bpe_2000,2000,1448,164,139,249,0.0125,0.16786241187896456,1.0,False
132,25,word,bpe_5000,2000,1509,103,130,258,-0.0135,0.08829195728867756,1.0,False
132,25,word,char,2000,1429,183,170,218,0.0065,0.5230794984048376,1.0,False
132,25,bpe_500,bpe_1000,2000,1414,141,155,290,-0.007,0.44993862993776257,1.0,False
132,25,bpe_500,bpe_2000,2000,1422,133,165,280,-0.016,0.07235123390632663,1.0,False
132,25,bpe_500,bpe_5000,2000,1435,120,204,241,-0.042,3.556774876395799e-06,0.0048976790047970155,True
132,25,bpe_500,char,2000,1416,139,183,262,-0.022,0.016428477387273654,1.0,False
132,25,bpe_1000,bpe_2000,2000,1432,137,155,276,-0.009,0.3198113824661028,1.0,False
132,25,bpe_1000,bpe_5000,2000,1455,114,184,247,-0.035,5.966407578436971e-05,0.07529606363987457,False
